id,lat,lon,rain,sea,elevation,dist_river,dist_drainage,rain_norm,sea_norm,elevation_norm,dist_river_norm,drainage_norm,flood_index_base,water_influence,target_risk,is_flooded,spatial_risk,final_risk,risk_category
N_0,12.8,74.81,0.0,1.0,4.9,1.8284132708080092,0.3998273467819543,0.0,0.3333333333333333,0.049,0.1828413270808009,0.0799654693563908,0.3333333333333333,0.518561044532222,0.3988674900131666,0,0.008130083,0.0108675845,Safe
N_1,12.8,74.82,0.0,1.0,21.7,2.6284667142368745,1.026359666927721,0.0,0.3333333333333333,0.217,0.2628466714236874,0.2052719333855442,0.3333333333333333,0.3665062119988845,0.334059265133166,0,0.008130083,0.0108675845,Safe
N_2,12.8,74.83,0.0,1.0,41.9,3.297094792557315,1.8470096650213863,0.0,0.3333333333333333,0.419,0.3297094792557314,0.3694019330042772,0.3333333333333333,0.2943691775074681,0.2727387099594535,0,0.008130083,0.0108675845,Safe
N_3,12.8,74.84,0.0,1.0,59.5,3.202696027243024,2.693582491293187,0.0,0.3333333333333333,0.595,0.3202696027243024,0.5387164982586374,0.3333333333333333,0.30278293604718,0.2300007737404103,0,0.008130083,0.0108675845,Safe
N_4,12.8,74.85,0.0,1.0,81.5,2.574296949685301,3.620807581610938,0.0,0.3333333333333333,0.815,0.2574296949685301,0.7241615163221877,0.3333333333333333,0.3739300529500567,0.1856728412758418,0,0.008130083,0.0108675845,Safe
N_5,12.8,74.86,0.0,1.0,100.8,2.130815986976869,4.6169750051038205,0.0,0.3333333333333333,1.0,0.2130815986976869,0.923395001020764,0.3333333333333333,0.4482664665475919,0.1505733033154721,0,0.008130083,0.0108675845,Safe
N_6,12.8,74.87,0.0,1.0,120.4,2.192124281310745,5.645707979451753,0.0,0.3333333333333333,1.0,0.2192124281310745,1.0,0.3333333333333333,0.4362765178806764,0.1487748110154347,0,0.008130083,0.0108675845,Safe
N_7,12.8,74.88,0.0,1.0,144.5,2.7243533302107688,6.692004834255331,0.0,0.3333333333333333,1.0,0.2724353330210768,1.0,0.3333333333333333,0.354063349405853,0.1364428357442113,0,0.008130083,0.0108675845,Safe
N_8,12.8,74.89,0.0,1.0,165.0,3.5200075817831924,7.748753997632019,0.0,0.3333333333333333,1.0,0.3520007581783192,1.0,0.3333333333333333,0.276242515356116,0.1247697106367507,0,0.008130083,0.0108675845,Safe
N_9,12.8,74.9,0.0,1.0,188.7,4.439647033405203,8.563695509943614,0.0,0.3333333333333333,1.0,0.4439647033405203,1.0,0.3333333333333333,0.2202814431698001,0.1163755498088033,0,0.008130083,0.0108675845,Safe
N_10,12.8,74.91,0.0,1.0,210.0,4.503707632676918,9.14397654253728,0.0,0.3333333333333333,1.0,0.4503707632676918,1.0,0.3333333333333333,0.2172162265262118,0.1159157673122651,0,0.008130083,0.0108675845,Safe
N_11,12.81,74.81,0.0,1.0,4.9,2.797162988963595,0.6236424003022828,0.0,0.3333333333333333,0.049,0.2797162988963595,0.1247284800604565,0.3333333333333333,0.3451652543572396,0.3728581214869192,0,0.008130083,0.0108675845,Safe
N_12,12.81,74.82,0.0,1.0,21.7,3.374866158096178,0.485895880307596,0.0,0.3333333333333333,0.217,0.3374866158096178,0.0971791760615192,0.3333333333333333,0.287780868241522,0.3222504635695616,0,0.008130083,0.0108675845,Safe
N_13,12.81,74.83,0.0,1.0,41.9,4.160148609908558,1.1843185992473413,0.0,0.3333333333333333,0.419,0.4160148609908558,0.2368637198494682,0.3333333333333333,0.2347335953666331,0.2637933726383282,0,0.008130083,0.0108675845,Safe
N_14,12.81,74.84,0.0,1.0,59.5,4.116700729188027,2.214945299726694,0.0,0.3333333333333333,0.595,0.4116700729188027,0.4429890599453387,0.3333333333333333,0.2371522344656793,0.2201561685031852,0,0.008130083,0.0108675845,Safe
N_15,12.81,74.85,0.0,1.0,81.5,3.536822404967784,3.2803370678203896,0.0,0.3333333333333333,0.815,0.3536822404967784,0.6560674135640779,0.3333333333333333,0.274965310000849,0.1708281298334606,0,0.008130083,0.0108675845,Safe
N_16,12.81,74.86,0.0,1.0,100.8,3.228400135009905,4.3550541132049565,0.0,0.3333333333333333,1.0,0.3228400135009905,0.8710108226409913,0.3333333333333333,0.3004446459070414,0.1284000302193895,0,0.008130083,0.0108675845,Safe
N_17,12.81,74.87,0.0,1.0,120.4,3.269187822557646,5.433565847561868,0.0,0.3333333333333333,1.0,0.3269187822557646,1.0,0.3333333333333333,0.2968074362921303,0.1278544487771528,0,0.008130083,0.0108675845,Safe
N_18,12.81,74.88,0.0,1.0,144.5,3.6474892030226944,6.491276689566993,0.0,0.3333333333333333,1.0,0.3647489203022694,1.0,0.3333333333333333,0.2668453318540339,0.1233601331114384,0,0.008130083,0.0108675845,Safe
N_19,12.81,74.89,0.0,1.0,165.0,3.54481355451749,7.040257948977578,0.0,0.3333333333333333,1.0,0.354481355451749,1.0,0.3333333333333333,0.2743624564171658,0.1244877017959081,0,0.008130083,0.0108675845,Safe
N_20,12.81,74.9,0.0,1.0,188.7,3.5182513979922603,7.620120134094417,0.0,0.3333333333333333,1.0,0.351825139799226,1.0,0.3333333333333333,0.2763765946597553,0.1247898225322966,0,0.008130083,0.0108675845,Safe
N_21,12.81,74.91,0.0,1.0,210.0,3.632106975655755,8.200068692224447,0.0,0.3333333333333333,1.0,0.3632106975655755,1.0,0.3333333333333333,0.2679451598046151,0.1235251073040255,0,0.008130083,0.0108675845,Safe
N_22,12.82,74.81,0.0,1.0,4.9,3.844217580005263,1.2542851274100308,0.0,0.3333333333333333,0.049,0.3844217580005263,0.2508570254820061,0.3333333333333333,0.2535357088486649,0.359113689660633,0,0.008130083,0.0108675845,Safe
N_23,12.82,74.82,0.0,1.0,21.7,4.039257627837196,0.6116682004393945,0.0,0.3333333333333333,0.217,0.4039257627837195,0.1223336400878789,0.3333333333333333,0.2415892147603555,0.3153217155473867,0,0.008130083,0.0108675845,Safe
N_24,12.82,74.83,0.0,1.0,41.9,3.9341515771675697,1.2353978785652229,0.0,0.3333333333333333,0.419,0.3934151577167569,0.2470795757130445,0.3333333333333333,0.2478835960601443,0.2657658727423549,0,0.008130083,0.0108675845,Safe
N_25,12.82,74.84,0.0,1.0,59.5,4.121926301124008,2.24264151658619,0.0,0.3333333333333333,0.595,0.4121926301124007,0.448528303317238,0.3333333333333333,0.2368587058788233,0.2201121392151568,0,0.008130083,0.0108675845,Safe
N_26,12.82,74.85,0.0,1.0,81.5,3.782741518587445,3.2990661016177745,0.0,0.3333333333333333,0.815,0.3782741518587445,0.6598132203235549,0.3333333333333333,0.2575499798822053,0.1682158303156641,0,0.008130083,0.0108675845,Safe
N_27,12.82,74.86,0.0,1.0,100.8,3.5852449861664044,4.369141382738086,0.0,0.3333333333333333,1.0,0.3585244986166404,0.8738282765476171,0.3333333333333333,0.2713523805754513,0.124036190419651,0,0.008130083,0.0108675845,Safe
N_28,12.82,74.87,0.0,1.0,120.4,3.670381735524925,5.036085413495085,0.0,0.3333333333333333,1.0,0.3670381735524924,1.0,0.3333333333333333,0.2652251337252929,0.1231171033921272,0,0.008130083,0.0108675845,Safe
N_29,12.82,74.88,0.0,1.0,144.5,2.9295520399224566,5.517218829065297,0.0,0.3333333333333333,1.0,0.2929552039922456,1.0,0.3333333333333333,0.3300818031254534,0.1328456038021513,0,0.008130083,0.0108675845,Safe
N_30,12.82,74.89,0.0,1.0,165.0,2.458406047819725,6.097714485106967,0.0,0.3333333333333333,1.0,0.2458406047819725,1.0,0.3333333333333333,0.3908683693318347,0.1419635887331085,0,0.008130083,0.0108675845,Safe
N_31,12.82,74.9,0.0,1.0,188.7,2.419949898721702,6.6782073281821726,0.0,0.3333333333333333,1.0,0.2419949898721702,1.0,0.3333333333333333,0.396833286450366,0.1428583263008882,0,0.008130083,0.0108675845,Safe
N_32,12.82,74.91,0.0,1.0,210.0,2.831866311109141,7.303616092132765,0.0,0.3333333333333333,1.0,0.2831866311109141,1.0,0.3333333333333333,0.3410796720883547,0.1344952841465865,0,0.008130083,0.0108675845,Safe
N_33,12.83,74.81,0.0,1.0,3.5,3.46387022491897,1.6539262875363856,0.0,0.3333333333333333,0.035,0.346387022491897,0.3307852575072771,0.3333333333333333,0.2805938311131226,0.3666724080003017,0,0.008130083,0.0108675845,Safe
N_34,12.83,74.82,0.0,1.0,20.0,2.968111997633207,1.4165004536464625,0.0,0.3333333333333333,0.2,0.2968111997633207,0.2833000907292924,0.3333333333333333,0.325933342971644,0.3322233347790799,0,0.008130083,0.0108675845,Safe
N_35,12.83,74.83,0.0,1.0,40.8,2.823414351832261,1.5435683109563705,0.0,0.3333333333333333,0.408,0.2823414351832261,0.3087136621912741,0.3333333333333333,0.3420657764005455,0.2826431997934152,0,0.008130083,0.0108675845,Safe
N_36,12.83,74.84,0.0,1.0,58.8,3.079664957630642,2.26042975922663,0.0,0.3333333333333333,0.588,0.3079664957630642,0.4520859518453259,0.3333333333333333,0.3144985441312532,0.2335081149530213,0,0.008130083,0.0108675845,Safe
N_37,12.83,74.85,0.0,1.0,80.4,2.752716659924213,3.0248186786809272,0.0,0.3333333333333333,0.804,0.2752716659924213,0.6049637357361854,0.3333333333333333,0.3505430504361995,0.1849147908987632,0,0.008130083,0.0108675845,Safe
N_38,12.83,74.86,0.0,1.0,99.1,2.4743393220877303,3.662175367915246,0.0,0.3333333333333333,0.991,0.247433932208773,0.7324350735830492,0.3333333333333333,0.3884491805023678,0.1438507104086885,0,0.008130083,0.0108675845,Safe
N_39,12.83,74.87,0.0,1.0,119.7,2.649146716045894,4.0172441981068,0.0,0.3333333333333333,1.0,0.2649146716045894,0.80344883962136,0.3333333333333333,0.3637492295930655,0.1378957177722931,0,0.008130083,0.0108675845,Safe
N_40,12.83,74.88,0.0,1.0,143.8,2.129106325559833,4.59587852861317,0.0,0.3333333333333333,1.0,0.2129106325559833,0.919175705722634,0.3333333333333333,0.448610274231245,0.1506248744680201,0,0.008130083,0.0108675845,Safe
N_41,12.83,74.89,0.0,1.0,164.0,1.4123313314855548,5.174927710031992,0.0,0.3333333333333333,1.0,0.1412331331485554,1.0,0.3333333333333333,0.661230762849901,0.1825179477608184,0,0.008130083,0.0108675845,Safe
N_42,12.83,74.9,0.0,1.0,187.6,1.3442784173134723,5.759630573426775,0.0,0.3333333333333333,1.0,0.1344278417313472,1.0,0.3333333333333333,0.692387276589037,0.1871914248216888,0,0.008130083,0.0108675845,Safe
N_43,12.83,74.91,0.0,1.0,209.3,1.9925631146585063,6.474361080651326,0.0,0.3333333333333333,1.0,0.1992563114658506,1.0,0.3333333333333333,0.477882838034825,0.155015759038557,0,0.008130083,0.0108675845,Safe
N_44,12.84,74.81,0.0,1.0,0.0,2.639170143024584,0.6214881616874633,0.0,0.3333333333333333,0.0,0.2639170143024584,0.1242976323374926,0.3333333333333333,0.3650740727247424,0.3880944442420446,0,0.008130083,0.0108675845,Safe
N_45,12.84,74.82,0.0,1.0,15.3,1.9433573530714148,0.4486408599939365,0.0,0.3333333333333333,0.153,0.1943357353071415,0.0897281719987873,0.3333333333333333,0.4893906582208336,0.3684919320664583,0,0.008130083,0.0108675845,Safe
N_46,12.84,74.83,0.0,1.0,36.1,1.7142493733236992,0.7489769209296963,0.0,0.3333333333333333,0.361,0.1714249373323699,0.1497953841859392,0.3333333333333333,0.5511921429896944,0.3257621547817875,0,0.008130083,0.0108675845,Safe
N_47,12.84,74.84,0.0,1.0,54.2,2.1098005549597683,1.473584950087894,0.0,0.3333333333333333,0.542,0.2109800554959768,0.2947169900175788,0.3333333333333333,0.4525295270451255,0.2657127623901021,0,0.008130083,0.0108675845,Safe
N_48,12.84,74.85,0.0,1.0,76.0,1.821709893373715,2.327088448853002,0.0,0.3333333333333333,0.76,0.1821709893373715,0.4654176897706004,0.3333333333333333,0.5203699077827092,0.2213888195007397,0,0.008130083,0.0108675845,Safe
N_49,12.84,74.86,0.0,1.0,94.5,1.365134020082743,2.5808126353476397,0.0,0.3333333333333333,0.945,0.1365134020082743,0.5161625270695278,0.3333333333333333,0.6825314178040349,0.1994630460039385,0,0.008130083,0.0108675845,Safe
N_50,12.84,74.87,0.0,1.0,115.3,1.6610775134366136,3.0638550682045484,0.0,0.3333333333333333,1.0,0.1661077513436613,0.6127710136409097,0.3333333333333333,0.5678341767300028,0.1685084598428337,0,0.008130083,0.0108675845,Safe
N_51,12.84,74.88,0.0,1.0,138.2,1.719527440662143,3.642881480396428,0.0,0.3333333333333333,1.0,0.1719527440662143,0.7285762960792856,0.3333333333333333,0.549593250232099,0.1657723208681482,0,0.008130083,0.0108675845,Safe
N_52,12.84,74.89,0.0,1.0,160.3,0.6468860936118513,4.222307969530152,0.0,0.3333333333333333,1.0,0.0646886093611851,0.8444615939060304,0.3333333333333333,1.3388922468272508,0.2841671703574209,0,0.008130083,0.0108675845,Safe
N_53,12.84,74.9,0.0,1.0,183.7,0.4804932385262229,4.9214934381133135,0.0,0.3333333333333333,1.0,0.0480493238526223,0.9842986876226628,0.3333333333333333,1.722672950573612,0.3417342759193751,0,0.008130083,0.0108675845,Safe
N_54,12.84,74.91,0.0,1.0,203.9,1.5472591967588707,5.695307838837738,0.0,0.3333333333333333,1.0,0.154725919675887,1.0,0.3333333333333333,0.6070690040569141,0.1743936839418704,0,0.008130083,0.0108675845,Safe
N_55,12.85,74.81,0.0,1.0,0.0,2.0987861760133,0.2578079656776625,0.0,0.3333333333333333,0.0,0.20987861760133,0.0515615931355325,0.3333333333333333,0.4547963830721988,0.4015527907941631,0,0.008130083,0.0108675845,Safe
