timestamp,latitude,longitude,city,rain_1h_mm,rain_3h_mm,rain_24h_mm,humidity_pct,temp_celsius,wind_speed_ms,pressure_hpa,source,api_endpoint
2024-06-01T00:00,12.8698,74.8431,Mangalore,0.2,0.2,0.2,93,27.8,11.7,1002.2,Open-Meteo_ERA5_Historical,https://archive-api.open-meteo.com/v1/archive?latitude=12.8698&longitude=74.8431
2024-06-01T01:00,12.8698,74.8431,Mangalore,0.4,0.6000000000000001,0.6000000000000001,95,27.3,7.6,1002.3,Open-Meteo_ERA5_Historical,https://archive-api.open-meteo.com/v1/archive?latitude=12.8698&longitude=74.8431
2024-06-01T02:00,12.8698,74.8431,Mangalore,0.1,0.7000000000000001,0.7000000000000001,96,27.3,9.7,1001.3,Open-Meteo_ERA5_Historical,https://archive-api.open-meteo.com/v1/archive?latitude=12.8698&longitude=74.8431
2024-06-01T03:00,12.8698,74.8431,Mangalore,0.0,0.5,0.7000000000000001,96,27.2,6.5,1001.3,Open-Meteo_ERA5_Historical,https://archive-api.open-meteo.com/v1/archive?latitude=12.8698&longitude=74.8431
2024-06-01T04:00,12.8698,74.8431,Mangalore,0.2,0.30000000000000004,0.9,93,27.1,7.1,1002.1,Open-Meteo_ERA5_Historical,https://archive-api.open-meteo.com/v1/archive?latitude=12.8698&longitude=74.8431
2024-06-01T05:00,12.8698,74.8431,Mangalore,0.0,0.2,0.9,92,27.2,8.4,1001.9,Open-Meteo_ERA5_Historical,https://archive-api.open-meteo.com/v1/archive?latitude=12.8698&longitude=74.8431
2024-06-01T06:00,12.8698,74.8431,Mangalore,0.1,0.30000000000000004,1.0,88,28.5,8.7,1002.1,Open-Meteo_ERA5_Historical,https://archive-api.open-meteo.com/v1/archive?latitude=12.8698&longitude=74.8431
2024-06-01T07:00,12.8698,74.8431,Mangalore,0.0,0.1,1.0,87,29.1,9.3,1003.0,Open-Meteo_ERA5_Historical,https://archive-api.open-meteo.com/v1/archive?latitude=12.8698&longitude=74.8431
2024-06-01T08:00,12.8698,74.8431,Mangalore,0.1,0.2,1.1,84,29.5,15.3,1002.9,Open-Meteo_ERA5_Historical,https://archive-api.open-meteo.com/v1/archive?latitude=12.8698&longitude=74.8431
2024-06-01T09:00,12.8698,74.8431,Mangalore,0.2,0.30000000000000004,1.3,79,30.2,17.3,1003.5,Open-Meteo_ERA5_Historical,https://archive-api.open-meteo.com/v1/archive?latitude=12.8698&longitude=74.8431
2024-06-01T10:00,12.8698,74.8431,Mangalore,0.1,0.4,1.4000000000000001,78,30.8,18.2,1003.6,Open-Meteo_ERA5_Historical,https://archive-api.open-meteo.com/v1/archive?latitude=12.8698&longitude=74.8431
2024-06-01T11:00,12.8698,74.8431,Mangalore,0.1,0.4,1.5,77,30.8,16.9,1003.7,Open-Meteo_ERA5_Historical,https://archive-api.open-meteo.com/v1/archive?latitude=12.8698&longitude=74.8431
2024-06-01T12:00,12.8698,74.8431,Mangalore,0.2,0.4,1.7000000000000002,77,30.8,20.1,1002.9,Open-Meteo_ERA5_Historical,https://archive-api.open-meteo.com/v1/archive?latitude=12.8698&longitude=74.8431
2024-06-01T13:00,12.8698,74.8431,Mangalore,0.5,0.8,2.2,75,31.0,16.6,1002.4,Open-Meteo_ERA5_Historical,https://archive-api.open-meteo.com/v1/archive?latitude=12.8698&longitude=74.8431
2024-06-01T14:00,12.8698,74.8431,Mangalore,0.3,1.0,2.5,78,30.0,19.0,1001.5,Open-Meteo_ERA5_Historical,https://archive-api.open-meteo.com/v1/archive?latitude=12.8698&longitude=74.8431
2024-06-01T15:00,12.8698,74.8431,Mangalore,0.1,0.9,2.6,78,30.1,18.9,1000.6,Open-Meteo_ERA5_Historical,https://archive-api.open-meteo.com/v1/archive?latitude=12.8698&longitude=74.8431
2024-06-01T16:00,12.8698,74.8431,Mangalore,0.2,0.6,2.8000000000000003,78,30.1,18.7,1001.0,Open-Meteo_ERA5_Historical,https://archive-api.open-meteo.com/v1/archive?latitude=12.8698&longitude=74.8431
2024-06-01T17:00,12.8698,74.8431,Mangalore,0.0,0.30000000000000004,2.8000000000000003,81,29.5,15.0,1001.3,Open-Meteo_ERA5_Historical,https://archive-api.open-meteo.com/v1/archive?latitude=12.8698&longitude=74.8431
