timestamp,latitude,longitude,station,tide_height_m,storm_surge_m,total_water_level_m,tide_type,datum,source,api_endpoint
2024-06-01T00:00:00,12.8698,74.8431,Mangalore_Port,1.893,0.0,1.893,LOW,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-01T02:30:00,12.8698,74.8431,Mangalore_Port,2.448,0.0,2.448,HIGH,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-01T08:30:00,12.8698,74.8431,Mangalore_Port,0.195,0.0,0.195,LOW,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-01T14:30:00,12.8698,74.8431,Mangalore_Port,1.937,0.0,1.937,HIGH,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-01T20:30:00,12.8698,74.8431,Mangalore_Port,0.19,0.0,0.19,LOW,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-02T03:00:00,12.8698,74.8431,Mangalore_Port,2.428,0.0,2.428,HIGH,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-02T09:00:00,12.8698,74.8431,Mangalore_Port,0.193,0.0,0.193,LOW,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-02T15:00:00,12.8698,74.8431,Mangalore_Port,1.945,0.0,1.945,HIGH,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-02T21:00:00,12.8698,74.8431,Mangalore_Port,0.233,0.0,0.233,LOW,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-03T03:00:00,12.8698,74.8431,Mangalore_Port,2.343,0.0,2.343,HIGH,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-03T10:00:00,12.8698,74.8431,Mangalore_Port,0.267,0.0,0.267,LOW,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-03T16:00:00,12.8698,74.8431,Mangalore_Port,1.948,0.0,1.948,HIGH,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-03T22:00:00,12.8698,74.8431,Mangalore_Port,0.281,0.0,0.281,LOW,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-04T04:00:00,12.8698,74.8431,Mangalore_Port,2.24,0.0,2.24,HIGH,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-04T04:30:00,12.8698,74.8431,Mangalore_Port,2.24,0.0,2.24,HIGH,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-04T11:00:00,12.8698,74.8431,Mangalore_Port,0.357,0.0,0.357,LOW,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-04T16:30:00,12.8698,74.8431,Mangalore_Port,1.912,0.0,1.912,HIGH,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-04T22:00:00,12.8698,74.8431,Mangalore_Port,0.407,0.003,0.41,LOW,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-05T04:30:00,12.8698,74.8431,Mangalore_Port,2.107,0.0,2.107,HIGH,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-05T11:30:00,12.8698,74.8431,Mangalore_Port,0.431,0.0,0.431,LOW,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-05T17:00:00,12.8698,74.8431,Mangalore_Port,1.863,0.0,1.863,HIGH,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-05T23:00:00,12.8698,74.8431,Mangalore_Port,0.508,0.0,0.508,LOW,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-06T05:30:00,12.8698,74.8431,Mangalore_Port,1.923,0.0,1.923,HIGH,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-06T11:30:00,12.8698,74.8431,Mangalore_Port,0.546,0.0,0.546,LOW,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-06T18:00:00,12.8698,74.8431,Mangalore_Port,1.795,0.0,1.795,HIGH,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-07T00:00:00,12.8698,74.8431,Mangalore_Port,0.611,0.0,0.611,LOW,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
2024-06-07T06:30:00,12.8698,74.8431,Mangalore_Port,1.758,0.0,1.758,HIGH,Chart_Datum_LAT,WorldTides_simulated,https://www.worldtides.info/api/v3
