timestamp,latitude,longitude,station,tide_height_m,wave_height_m,swell_height_m,storm_surge_m,total_water_level_m,tide_type,datum,source,api_endpoint
2024-06-01T00:00,12.8698,74.8431,Mangalore_Port,1.2,1.88,1.78,0.277,1.4769999999999999,FALLING,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-01T01:00,12.8698,74.8431,Mangalore_Port,1.7488133589148251,1.86,1.74,0.273,2.0218133589148253,RISING,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-01T02:00,12.8698,74.8431,Mangalore_Port,2.164885873116937,1.86,1.7,0.271,2.435885873116937,HIGH,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-01T03:00,12.8698,74.8431,Mangalore_Port,2.348906209561693,1.84,1.72,0.27,2.618906209561693,HIGH,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-01T04:00,12.8698,74.8431,Mangalore_Port,2.2599150338577947,1.84,1.72,0.27,2.5299150338577947,HIGH,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-01T05:00,12.8698,74.8431,Mangalore_Port,1.9253850953433247,1.82,1.74,0.269,2.194385095343325,HIGH,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-01T06:00,12.8698,74.8431,Mangalore_Port,1.433911646910209,1.82,1.76,0.27,1.703911646910209,FALLING,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-01T07:00,12.8698,74.8431,Mangalore_Port,0.9124022409435089,1.84,1.76,0.272,1.1844022409435089,FALLING,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-01T08:00,12.8698,74.8431,Mangalore_Port,0.4936058399304355,1.84,1.78,0.273,0.7666058399304355,LOW,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-01T09:00,12.8698,74.8431,Mangalore_Port,0.282277739054441,1.82,1.76,0.27,0.552277739054441,LOW,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-01T10:00,12.8698,74.8431,Mangalore_Port,0.3286127042318763,1.78,1.74,0.265,0.5936127042318763,LOW,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-01T11:00,12.8698,74.8431,Mangalore_Port,0.6157101772743867,1.76,1.72,0.262,0.8777101772743867,LOW,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-01T12:00,12.8698,74.8431,Mangalore_Port,1.0642420679881686,1.7,1.66,0.253,1.3172420679881687,RISING,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-01T13:00,12.8698,74.8431,Mangalore_Port,1.5530955050916724,1.66,1.62,0.24700000000000003,1.8000955050916725,RISING,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-01T14:00,12.8698,74.8431,Mangalore_Port,1.950684506525859,1.6,1.56,0.23800000000000004,2.188684506525859,HIGH,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-01T15:00,12.8698,74.8431,Mangalore_Port,2.1489072420234994,1.58,1.54,0.23500000000000004,2.3839072420234992,HIGH,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-01T16:00,12.8698,74.8431,Mangalore_Port,2.091061507788074,1.58,1.52,0.23400000000000004,2.325061507788074,HIGH,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-01T17:00,12.8698,74.8431,Mangalore_Port,1.7865866464025308,1.56,1.5,0.23100000000000004,2.0175866464025307,FALLING,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-01T18:00,12.8698,74.8431,Mangalore_Port,1.3088744785811777,1.56,1.5,0.23100000000000004,1.5398744785811778,FALLING,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-01T19:00,12.8698,74.8431,Mangalore_Port,0.7767199969656029,1.54,1.52,0.23000000000000004,1.0067199969656029,FALLING,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-01T20:00,12.8698,74.8431,Mangalore_Port,0.3241576937239501,1.54,1.52,0.23000000000000004,0.5541576937239501,LOW,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-01T21:00,12.8698,74.8431,Mangalore_Port,0.06638582755113331,1.52,1.5,0.22700000000000004,0.29338582755113335,LOW,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-01T22:00,12.8698,74.8431,Mangalore_Port,0.07046652554850752,1.52,1.48,0.22600000000000003,0.29646652554850755,LOW,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-01T23:00,12.8698,74.8431,Mangalore_Port,0.3382571284223189,1.5,1.46,0.22300000000000003,0.5612571284223189,LOW,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-02T00:00,12.8698,74.8431,Mangalore_Port,0.8058972687524091,1.5,1.46,0.22300000000000003,1.0288972687524092,RISING,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-02T01:00,12.8698,74.8431,Mangalore_Port,1.3599502795441616,1.48,1.44,0.21999999999999997,1.5799502795441616,RISING,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-02T02:00,12.8698,74.8431,Mangalore_Port,1.8660574623987118,1.48,1.44,0.21999999999999997,2.0860574623987116,HIGH,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-02T03:00,12.8698,74.8431,Mangalore_Port,2.202790882840926,1.46,1.42,0.21699999999999997,2.419790882840926,HIGH,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-02T04:00,12.8698,74.8431,Mangalore_Port,2.292090569196584,1.46,1.42,0.21699999999999997,2.509090569196584,HIGH,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-02T05:00,12.8698,74.8431,Mangalore_Port,2.118570740099329,1.44,1.4,0.21399999999999997,2.332570740099329,HIGH,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
2024-06-02T06:00,12.8698,74.8431,Mangalore_Port,1.7328405217601661,1.44,1.4,0.21399999999999997,1.946840521760166,FALLING,Chart_Datum_LAT,Open-Meteo_Marine_Real+TidalModel,https://marine-api.open-meteo.com/v1/marine?latitude=12.8698&longitude=74.8431&s
